TITULO;AUTOR;EDITORIAL;PRECIO ;TEMA;
DECIR NO  NO BASTA;KLEIN  NOEMI;PAIDÓS;21500;SOCIOLOGIA;
DECRECIMIENTO  VS GREEN NEW DEAL;HERMAN DALY;TRAFICANTES DE SUEÑOS;9000;VERDE ANIMAL;
DEL FACISMO AL POPULISMO EN LA HISTORIA;FINCHELSTEIN  FEDERICO ;TAURUS;18500;ENSAYO;
DEL ORIGEN DE LOS MITOS EN CHILE;VICUÑA  JULIO;LOM;8500;MITOLOGIA;
DEL PODER CONSTITUYENTE DE ASALARIADOS E INTELECTUALES ;SALAZAR  GABRIEL;LOM;12000;HISTORIA DE CHILE ;
DEL YO AL NOSOTROS;D'ANSEMBOURG  THOMAS;ARPA;22900;PSICOLOGIA;
DEMOCRACIA;COLOMBO  GHERARDO;ADRIANA HIDALGO;8300;ENSAYO;
DEMOCRACIA DE LA ABOLICION;DAVIS  ANGELA;TROTTA;17000;FEMINISMO;
DEMOCRACIA Y SOCIALISMO EN CHILE;MOULIAN  TOMAS;LOM;11000;ENSAYO;
DEMOCRACIA:  HITOS DE LA HISTORIA DE UNA PALABRA ;ROBERTO TORRENTI;UDP;13000;FILOSOFIA;
DERECHO A FUGA;MONTEALEGRE  JORGE;ASTERION;25000;LITERATURA CHILENA;
DERRAMES ENTRE EL CAPITALISMO Y LA ESQUIZOFRENIA;DELEUZE  GILLES;CACTUS;17500;FILOSOFIA;
DERRAMES II APARATOS DE ESTADO;DELEUZE  GILLES;CACTUS;21000;FILOSOFIA;
DESAYUNO TIFFANY;TRUMAN CAPOTE ;LUMEN;13000;LITERATURA UNIVERSAL;
DESCUBRIENDO EL CEREBRO;MANES  FACUNDO;PLANETA;15500;INFANTIL;
DESDE LA GALERIA DE LA MUERTE ;ABU JAMAL;CATARATA;17500;HISTORIA ;
DESDE LAS SOMBRAS;ALVAREZ  ROLANDO;LOM;11000;HISTORIA DE CHILE ;
DESDÉN AL INFORTUNIO ;FERNANDO BLANCO ;CUARTO PROPIO ;9500;LITERATURA CHILENA;
DESESPERANZA  LA (DB);DONOSO  JOSE;DEBOLSILLO;4916;LITERATURA CHILENA;
DESHACER EL GENERO;BUTLER  JUDITH;PAIDOS;17000;FEMINISMO;
DESNUDEZ;AGAMBEN  GIORGIO;ADRIANA HIDALGO;15200;FILOSOFIA;
DESOBEDIENCIA CIVIL;THOREAU  HENRY;JOSE J. DE OLAÑETA;8900;ENSAYO;
DESPISTES Y FRANQUEZAS;BENEDETTI  MARIO;VISOR LIBROS ;7600;POESIA;
DESPUES DE VIVIR UN SIGLO ;HERRERO  VICTOR;RANDOM HOUSE ;19500;BIOGRAFIA ;
DESPUES DEL FIN DEL ARTE. EL ARTE CONTEMPORÁNEO Y EL LINDE DE LA HISTORIA;DANTO  ARTHUR C. ;PAIDÓS;19000;ENSAYO;
DEUDAS INTELECTUALES;AGUSTÍN SQUELLA;UDP;13000;BIOGRAFÍA;
DIALOGOS DE DESAPARECIDOS ;LIHN  ENRIQUE ;OVEROL ;9900;POESIA;
DIARIO DE PRAGA;GINZ  PETR;ACANTILADO;17000;ENSAYO;
DIARIO DE UN LIBRERO;MEY LUIS;INTERZONA EDITORA;14000;LITERATURA LATINOAMERICANA;
DIAS MALDITOS;BUNIN  IVAN;ACANTILADO;15800;LITERATURA UNIVERSAL;
DICCIONARIO CONSTITUCIONAL CHILENO ;GONZALO GARCIA PINO;HUEDERS;14000;ENSAYO;
DICCIONARIO DE LAS RELIGIONES;COULIANO  IOAN;PAIDOS;24500;MITOLOGIA;
DICCIONARIO DE MITOS DE AMERICA;GARCIA ESPERON MARIA Y MIJANGOS AMANDA;EDICIONES EL NARANJO ;6500;MITOLOGIA;
DICCIONARIO HISTORICO DE LA DICTADURA CIVICO-MILITAR EN CHILE;ARTIGAS  JOSE;LOM;23000;HISTORIA DE CHILE ;
DICCIONARIO MAPUCHE LENGUA Y CULTURA ;HERNANDEZ  ARTURO ;PEHUEN;12000;INFANTIL;
DICHOS CHILENOS ILUSTRADOS;KARIN PIPA;LIBERALIA;8000;INFANTIL;
DIECISIETE CONTRADICCIONES Y EL FIN DEL CAPITALISMO ;HARVEY  DAVID;TRAFICANTES DE SUEÑOS;23000;SOCIOLOGIA;
DIEZ NEGRITOS;CHRISTIE  AGATHA;BOOKET;7000;TERROR / SUSPENSO ;
DINAMITA  HISTORIA DE LA VIOLENCIA DE CLASE ;LOUIS ADAMIC;LA LINTERNA SORDA;25500;HISTORIA ;
DIOS MARX Y EL MAPU;ESTEBAN VALENZULA;LOM;13000;HISTORIA DE CHILE ;
DIOS NOS ODIA A TODOS;JARA  PATRICIO;EMECE;10200;LITERATURA CHILENA;
DIOSES CHILENOS ;ORTEGA  FRANCISCO;PLANETA;12500;MITOLOGIA;
DISCRUSO SOBRE EL MIEDO ESCUCHA HOMBRECILLO;WILHELM REICH;LA LINTERNA SORDA;16500;SOCIOLOGIA;
DISCURSOS SOBRE LA FELICIDAD;LA METTRIE  JULIEN OFFRAY DE;EL CUENCO DE PLATA;13800;SOCIOLOGIA;
DISPAREN A LA BANDADA ;VILLAGRAN  FERNANDO;CATALONIA;12000;HISTORIA DE CHILE ;
DISTANCIA DE RESCATE;SAMANTA  SCHWEBLIN;RANDOM HOUSE ;12000;LITERATURA UNIVERSAL;
DOCTOR SUEÑO ;KING  STEPHEN;DEBOLSILLO;13500;TERROR / SUSPENSO ;
DOLORES CLAIBORNE;KING  STEPHEN;DEBOLSILLO;12000;TERROR / SUSPENSO ;
DONDE VAN A MORIR LOS ELEFANTES (DB);DONOSO  JOSE;DEBOLSILLO;4916;LITERATURA CHILENA;
DOS GUIONES;ELTIT  DIAMELA;SANGRIA;7800;LITERATURA CHILENA;
DOS REVOLCUIONES COMUNISTAS EN EL SIGLO XX;ANDERSON  PERRY;TRAFICANTES DE SUEÑOS;8500;ENSAYO;
DRACULA;BRAM  STOKER;ALIANZA;16500;TERROR / SUSPENSO ;
DUNE ;FRANK HERBERT;DEBOLSILLO;8000;CIENCIA FICCION;
ECOANIMAL  UNA ESTETICA PLURISENSORIAL;TAFALLA  MARTA;PLAZA Y VALDES;21500;VERDE ANIMAL;
ECOLOGIA Y GENERO EN DIALOGO INTERDICIPLINAR;ALICIA H. PULEO;PLAZA Y VALDES;25500;FEMINISMO;
ECONOANIMAL;TAFAÑÑA  MARTA;PLAZA Y VALDES;18000;VERDE ANIMAL;
EDAD MEDIA Y EL DINERO  LA;LE GOFF  JACQUES;AKAL;22400;HISTORIA ;
EDAD OSCURA AMERICANA;BERMAN  MORRIS;SEXTOPISO;22500;SOCIOLOGIA;
EJE DEL MAL ES HETEROSEXUAL;GRUPO DE TRABAJO;TRAFICANTES DE SUEÑOS;18000;FEMINISMO;
EL ACOSO DE LAS FANTASIAS;ZIZEK  SLAJOV;AKAL;29500;FILOSOFIA;
EL ALIENISTA;CARR  CALEB;BOLSILLO;9900;TERROR / SUSPENSO ;
EL ANGEL PERDIDO;SIERRA  JAVIER;BOOKET;16500;LITERATURA UNIVERSAL;
EL ANTICRISTO;JOSEPH ROTH;CAPITÁN SWING;15000;ENSAYO;
EL APOCALIPSIS DE NUESTRO TIEMPO ;ROZANOV  VASILI;ACANTILADO;21599;ENSAYO;
EL ARBOL DE LA MEMORIA Y OTROS POEMAS;TELLIER  JORGE;LOM;2500;POESIA;
EL ARCANO DE LA REPODRUCCION ;LEOPOLDINA FORTUNATI;TRAFICANTES DE SUEÑOS;25500;FEMINISMO;
EL ARTE DE AMAR;FROMM  ERICH;PAIDOS;16000;PSICOLOGIA;
EL ARTE DE AMARGARSE LA VIDA ;WATZLAWICK  PAUL;HERDER;12000;PSICOLOGIA;
EL BAILE DE LA VICTORIA;SKARMETA  ANTONIO;BOOKET;11800;LITERATURA CHILENA;
EL BAZAR DE LOS MALOS SUEÑOS ;KING  STEPHEN;BOLSILLO;9000;TERROR / SUSPENSO ;
EL BONOBO Y LOS DIEZ MANDAMIENTOS ;DE WAAL  FRANS;TUSQUETS;16500;DIVULGACIÓN CIENTIFICA ;
EL BOSQUE OSCURO;LUI  CIXIN;NOVA;18000;CIENCIA FICCION;
EL CALIZ SECRETO;ORTEGA  FRANCISCO;PLANETA;17500;FANTASIA;
EL CARDENAL;CARVAJAL / INZUNZA;LIBERALIA;12000;LITERATURA CHILENA;
EL CLUB DE LAS MUJERES ALEGRES;ROSA MARIA ROSALES NAVA;LIBERALIA;13000;FEMINISMO;
EL COMPADRE;DROGUETT  CARLOS;LA POLLERA;14500;LITERATURA CHILENA;
EL CONSUMO ME CONSUME;TOMAS MOULIAN;LOM;2600;SOCIOLOGIA ;
EL CORAJE DE LA DESESPERANZA CRONICAS DEL AÑO EN QUE ACTUAMOS PELIGROSAMENTE ;ZIZEK  SLAJOV;ANAGRAMA;22900;FILOSOFIA;
EL CRACK UP;FRANCIS SCOTT FITZGERALD;CAPITÁN SWING;18000;LITERATURA UNIVERSAL;
EL CUADERNO DE MAYA;ALLENDE  ISABEL;DEBOLSILLO;8000;LITERATURA CHILENA;
EL CUADERNO DEL AÑO DEL NOBEL ;SARAMAGO  JOSE;BOLSILLO;15000;LITERATURA UNIVERSAL;
EL CURIOSO INCIDENTE DEL PERRO A MEADIANOCHE;HADDON  MARK;LETRAS DE BOLSILLO;8900;LITERATURA UNIVERSAL;
EL DESCUBRIMIENTO DE LA PINTURA;EDWARDS  JORGE;LUMEN;12000;LITERATURA CHILENA;
EL DESEO DE OTRO CHILE;TOMAS MOULIAN;LOM;2600;SOCIOLOGIA;
EL DIA D LA BATALLA DE NORMANDIA;BEEVOR  ANTONY;CRITICA;20500;HISTORIA DE CHILE ;
EL DIA QUE ME MATARON;RODRIGUEZ  JOSE;CATALONIA;13500;HISTORIA ;
EL DIA QUE SE PERDIO EL AMOR ;CASTILLO  JAVIER;SUMA;16500;NOVELA POLICIAL ;
EL DIABLO DE LAS PROVINCIAS;JUAN CÁRDENAS ;BANDA - MONTACERDOS;12900;LITERATURA LATINOAMERICANA;
EL DIARIO DE ANA FRANK;FRANK  ANA;PEHUEN;12000;BIOGRAFIA;
EL ECLESIASTES  DIOGENES  MONTAIGNE;RIVANO  JUAN;TACITAS ;25000;FILOSOFIA;
EL EJERCITO DE CHILE Y LA SOBERANIA POPULAR ;SALAZAR  GABRIEL;DEBATE;17500;HISTORIA DE CHILE ;
EL ENEMIGO ;DAVIDE CALI;TAKATUKA;20500;SOCIOLOGIA;
EL ESPACIO PUBLICO COMO IDEOLOGIA ;MANUEL DELGADO;CATARATA;19000;SOCIOLOGIA;
EL ESPEJO INTERIOR;HALES JAIME;CATALONIA;21500;ASTROLOGIA;
EL ESPINOSO SUJETO ;ZIZEK  SLAJOV;PAIDOS;20500;FILOSOFIA;
EL ESTADO  PASADO   PRESENTE   FUTURO;BOB JESSOP;CATARATA;34800;FILOSOFIA;
EL FANTASISTA;RIVERA LETELIER  HERNAN;ALFAGUARA;16500;LITERATURA CHILENA;
EL FANTASMA DE CANTERVILLE Y OTROS RELATOS;WILDE  OSCAR;SIRUELA ;15261;LITERATURA UNIVERSAL;
EL FANTASMA DE LA SEQUÍA Y OTROS TEXTOS;JUSTO PASTOR MELLADO;UDP;15000;ARTES;
EL FEMINISMO ES PARA TODO EL MUNDO ;BELL HOOKS;TRAFICANTES DE SUEÑOS;12500;FEMINISMO;
EL FIN DE LA MUERTE;LUI  CIXIN;NOVA;18000;CIENCIA FICCION;
EL FUEGO INVISIBLE;SIERRA  JAVIER;RANDOM HOUSE ;16500;LITERATURA UNIVERSAL;
EL GENERAL EN SU LABERINTO ;MARQUEZ GARCIA  GABRIEL;RANDOM HOUSE ;13000;LITERATURA LATINOAMERICANA;
EL GESTO DE HECTOR ;LUIGI ZOJA ; TAURUS;18000;PSICOLOGIA;
EL GOBIERNO DE SALVADOR ALLENDE;CORVALAN  LUIS;LOM;14000;HISTORIA DE CHILE ;
EL GOLEM;IDEL  MOSHE;SIRUELA ;40400;MITOLOGIA;
EL GRAN ENGAÑO DE HITLER;BASTI  ABEL;PLANETA;17500;NOVELA HISTORICA;
EL GRAN LIBRO DE LAS CAMISETAS DE LOS MUNDIALES;PLANETA;PLANETA;15000;LITERATURA UNIVERSAL;
EL GUANACO BLANCO ;FRANCISCO COLOANE;TXALAPARTA;16500;LITERATURA LATINOAMERICANA;
EL HACEDOR ;BORGES  JORGE LUIS ;BOLSILLO;7500;LITERATURA LATINOAMERICANA;
EL HAMBRE DE LAS BESTIAS;VALENZUELA  VICTORIA;PLANETA;13500;LITERATURA CHILENA;
EL HECHICERO DE LA TRIBU;BORON  ATILIO;AKAL;14000;ENSAYO;
EL HOBBIT;TOLKIEN  J.R.R.;MINOTAURO;9800;FANTASIA;
EL HOBBIT ILUSTRADO;TOLKIEN;MINOTAURO;34900;FANTASIA;
EL HOMBRE EN BUSCA DEL SENTIDO ;FRANKL  VIKTOR ;HERDER;10500;BIOGRAFIA ;
EL HOMBRE INVISIBLE;HG  WELLS;ALIANZA;13500;CIENCIA FICCION;
EL HOMBRE QUE HABLABA DE OCTAVIA DE CADIZ;ECHENIQUE  ALFREDO BRYCE;PEISA;17500;LITERATURA LATINOAMERICANA;
EL HOMBRE QUE PREGUNTA;DIAZ ETEROVIC  RAMON ;LOM;8500;LITERATURA CHILENA;
EL HOMBRE QUE TRASLADABA LAS CIUDADES;DROGUETT  CARLOS ;LA POLEERA;15500;LITERATURA CHILENA;
EL HORROR DE DUNWICH;H.P. LOVECRAFT ;ALMA;16500;TERROR / SUSPENSO ;
EL HUMOR E BORGES;DE COSTA  RENE;TACITAS ;15500;LITERATURA UNIVERSAL;
EL IDIOTA;DOSTOIEVSKI  FIODOR;PENGUIN CLASICOS ;15000;LITERATURA UNIVERSAL;
EL INFORME BRODIE;BORGES  JORGE LUIS ;BOLSILLO;7500;LITERATURA LATINOAMERICANA;
EL INFORMEDE BRODECK;CLAUDEL  PHILIPPE;SALAMDARA;24900;LITERATURA UNIVERSAL;
EL INTERIOR DE LOS COLORES;FERRADA  MARÍA JOSÉ;PLANETA;9200;INFANTIL;
EL INVIERNO DEL MUNDO ;FOLLET  KEN;DEBOLSILLO;17000;NOVELA HISTORICA;
EL INVIERNO DEL MUNDO ;FOLLET  KEN;PLAZA JINES;17000;NOVELA HISTORICA;
EL JOVEN KARL MARX Y LA UTOPIA COMUNISTA;ROJAS  MAURICIO;DEBATE;13000;ENSAYO;
EL JOVEN NERUDA;LOYOLA  HERNAN;LUMEN;18400;BIOGRAFIA ;
EL JUEGO DEL ÁNGEL;RUIZ ZAFON  CARLOS;PLANETA;20500;TERROR / SUSPENSO ;
EL KAMADUTRA DE LA INNOVACIÓN ;CUEVAS  JORGE;GRIJALBO;15500;NOVELA ROMANTICA;
EL LIBERALISMO DEL MIEDO; SHKLAR  JUDITH;HERDER;14000;FILOSOFIA;
EL LIBERALISMO EN SU LUGAR;PAUL KAHN;UDP;26000;FILOSOFIA;
EL LIBRO DE LAS RELIGIONES;JOSTEIN GAARDER;SIRUELA ;25000;MITOLOGIA;
EL LIBRO NEGRO DEL CAPITALISMO ;GILLES PERRAULT ;TXALAPARTA;20500;HISTORIA ;
EL LOBO LLAMA A LA PUERTA;NONO GRANERO;CANICAS;24000;INFANTIL;
EL LOCO Y LA TRISTE;JUAN RADRIGAN;LOM;2600;LITERATURA CHILENA;
EL LUGAR SIN LIMITES;DONOSO  JOSE ;DEBOLSILLO;6500;LITERATURA CHILENA;
EL MAESTRO DEL PRADO Y LAS PINTURAS PROFÉTICAS;SIERRA  JAVIER;PLANETA;19500;LITERATURA UNIVERSAL;
EL MAGICO MUNDO DE LOS DRAGONES;MORALES  MAXIMO;ZIGZAG;16700;INFANTIL;
EL MALESTAR DE LA CULTURA;FREUD  SIGMUND;AMORRORTU EDITORES ;14900;PSICOLOGIA;
EL MALESTAR EN LA GLOBALIZACION;STIGLITZ  JOSEPH;TAURUS;16000;ENSAYO;
EL MANTO ;SERRANO  MARCELA;ALFAGUARA;13000;LITERATURA CHILENA;
EL MENDIGO Y OTROS CUENTOS;PESSOA  FERNANDO;ACANTILADO;19000;LITERATURA UNIVERSAL;
EL MOVIMIENTO OBRERO Y EL FRENTE POPULAR (1936-1939);GARCES  MARIO;LOM;7500;HISTORIA DE CHILE ;
EL MUNDO CUENTA CUENTA EL MUNDO;VARIOS AUTORES;LOM;11000;LITERATURA UNIVERSAL;
EL MUNDO DE AYER MEMORIAS DE UN EUROPEO;ZWEIG  STEFAN;ACANTILADO;19000;BIOGRAFIA;
EL MUNDO DE SOFÍA;GAARDER JOSTEIN;SIRUELA ;17000;FILOSOFIA;
EL MUNDO DIJO SI;KAIA DAHLE;TAKATUKA;18500;INFANTIL;
EL NADADOR;CONTRERAS  GONZALO;BOOKET;9700;LITERATURA CHILENA;
EL NOMBRE DEL VIENTO ;PATRICK ROTHFUSS ;PLAZA JINES;31500;FANTASIA;
EL ORDEN DEL DIA ;IDELFONSO  FALCONES ;GRIJALBO;14000;NOVELA HISTORICA;
EL PADECIMIENTO CONTINUO;BUKOWSKI  CHARLES;VISOR LIBROS ;12800;POESIA;
EL PADRE MIO;ELTIT  DIAMELA;LOM;2500;POESIA;
EL PAIS BAJO MI PIEL ;BELLI  GIOCONDA;TXALAPARTA;18500;LITERATURA LATINOAMERICANA;
EL PAN EN CHILE: SU HISTORIA  SUS PERSONAJES;FERRAN  ANTONIO;HUEDERS;21000;COCINA;
EL PAPA DE TESLA NO QUIERE;ASA MENDEL;TRAFICANTES DE SUEÑOS;20000;INFANTIL;
EL PARAISO EN LA OTRA ESQUINA;VARGAS LLOSA  MARIO;ALFAGUARA;14300;LITERATURA LATINOAMERICANA;
EL PARAISO ESTA VACÍO;ZURITA  RAUL;ALQUIMIA;8900;POESIA;
EL PATRIARCADO DEL SALARIO;FEDERICI  SILVIA ;TRAFICANTES DE SUEÑOS;13000;FEMINISMO;
EL PELIGRO DE LA HISTORIA UNICA;NGOZI ADICHIE  CHIMAMANDA;RANDOM HOUSE ;7000;FEMINISMO;
EL PERSEGUIDOR Y OTROS CUENTOS;CORTAZAR  JULIO;BRA;12500;LITERATURA LATINOAMERICANA;
EL PLAN INFINITO ;ALLENDE  ISABEL;DEBOLSILLO;7000;LITERATURA CHILENA;
EL PODER CONSTITUYENTE ;NEGRI  ANTONI;TRAFICANTES DE SUEÑOS;25000;SOCIOLOGIA;
EL PODER CURSO SOBRE FOUCAULT;DELEUZE  GILLES;CACTUS;26500;SOCIOLOGIA;
EL POLICIA QUE RIE;MAJ SJOWALL;RBA;15000;NOVELA POLICIAL ;
EL PRINCIPE;MAQUIAVELO  NICOLAS ;LA OTRAB;9000;MANGA;
EL PROCESO CONSTITUYENTE;FERNANDO ATRIA;LOM;8000;ENSAYO;
EL PUNTO CIEGO;CERCAS  JAVIER;RANDOM HOUSE ;13000;LITERATURA UNIVERSAL;
EL RESPLANDOR ;KING  STEPHEN;DEBOLSILLO ;11500;TERROR / SUSPENSO ;
EL RESTO ES SILENCIO;GUELFENBEIN  CARLA;DEBOLSILLO;11000;LITERATURA CHILENA;
EL REVES DEL ALMA;GUELFENBEIN  CARLA;ALFAGUARA;7101;LITERATURA CHILENA;
EL REY LEAR;SHAKESPEARE  WILLIAM;PENGUIN CLASICOS ;8700;LITERATURA UNIVERSAL;
EL ROJO ES BELLO;LUCIA ZAMOLO;TAKATUKA;16000;INFANTIL;
EL ROMBO FEROZ ;GRACIA IGLESIAS;CANICAS;15000;INFANTIL;
EL SABER CURSO SOBRE FOUCAULT;DELEUZE  GILLES;CACTUS;26500;FILOSOFIA;
EL SANTO ;AIRA  CESAR;RANDOM HOUSE ;12000;LITERATURA UNIVERSAL;
EL SAQUEO AL MAR;GUZMAN  NANCY;PLANETA;13500;ENSAYO;
EL SEDUCTOR;VARAS  JOSE MGUEL ;LOM;2500;LITERATURA CHILENA;
EL SEGUNDO DESEO;DIAZ ETEROVIC  RAMON ;LOM;10000;LITERATURA CHILENA;
EL SEÑOR DE LOS ANILLOS I. LA COMUNIDAD DEL ANILLO;TOLKIEN  J.R.R.;MINOTAURO;14000;FANTASIA;
EL SEÑOR DE LOS ANILLOS II. LAS DOS TORRES;TOLKIEN  J.R.R.;MINOTAURO;14000;FANTASIA;
EL SEÑOR DE LOS ANILLOS III. EL RETORNO DEL REY;TOLKIEN  J.R.R.;MINOTAURO;14000;FANTASIA;
EL SER Y EL TIEMPO;MARTIN HEIDEGGER ;FCE;13900;FILOSOFIA;
EL SIDA EN LA LITERATURA CUIR/QUEER LATINOAMERICANA;CLAUDIA COSTAGIOLA;CUARTO PROPIO ;12000;ENSAYO;
EL SILMARILLION;TOLKIEN  J.R.R.;MINOTAURO;12800;FANTASIA;
EL SISTEMA DEL TACTO ;COSTAMAGNA  ALEJANDRA;ANAGRAMA;16500;LITERATURA CHILENA;
EL SOCIALISMO PUEDE LLEGAR SOLO EN BICICLETA;JORGE REICHMANN;CATARATA;20500;VERDE ANIMAL;
EL SUEÑO SOCIALISTA Y OTROS POEMAS ;LONDON  JACK;VISOR LIBROS ;13000;POESIA;
EL TALLER DE POLI DELANO;VARIOS;ESPORA ;7000;LITERATURA CHILENA;
EL TALÓN DE HIERRO;LONDON  JACK;LA POLLERA;14000;LITERATURA UNIVERSAL;
EL TUNEL;ERNESTO SABATO;PLANETA;8000;LITERATURA LATINOAMERICANA;
EL ÚLTIMO VUELO;MARIEL SANHUEZA;MUÑECA DE TRAPO;12000;INFANTIL;
EL UMBRAL DE LA ETERNIDAD ;FOLLET  KEN;PLAZA JINES;26000;NOVELA HISTORICA;
EL VALIENTE JUAN SIN DIENTE;PAULA FERNÁNDEZ;PEHUEN;7000;INFANTIL;
EL VERBO KAIFMÁN;ORTEGA  FRANCISCO;BOOKET;11000;NOVELA HISTORICA;
EL VIAJE A PERSIA;KAVANAGH  ALFRED;JOSE J. DE OLAÑETA;15200;HISTORIA ;
ELEANOR MARX HIJA DE MARX;SILVEIRA  MARIA JOSE;LOM;7000;BIOGRAFIA;
EMA Y PAJARITO;ANANDA SIBILIA;MUÑECA DE TRAPO;12000;INFANTIL;
EMANCIPACION  LAS ANARQUISTAS;VARIAS AUTORAS;EDITORIAL ELEUTERIO;8500;FEMINISMO;
EN AQUEL FARO;RIVERA  LUISA;LIBERALIA;12000;INFANTIL;
EN BRUTO UNA REIVINDICACION DEL MATERIALISMO ;CESAR RENDUELES;CATARATA;16800;FILOSOFIA;
EN DEFENSA DE LOS ANIMALES;RICARD  MATTHIEU;KAIROS;16500;VERDE ANIMAL;
EN DEFENSA DE LOS ANIMALES ;JORGE REICHMANN;CATARATA;23500;VERDE ANIMAL;
EN EL CAFE DE LOS EXISTENCIALISTA;BAKEWELL  SARAH;ARIEL;25000;FILOSOFIA;
EN EL CUSCO EL REY;LEAL  BARTOLOME;ESPORA ;7000;LITERATURA CHILENA;
EN EL ENJAMBRE;CHUL HAN  BYUNG;HERDER;13500;FILOSOFIA;
EN EL NOMBRE DEL PODER POPULAR CONSTITUYENTE (CHILE SIGLO XXI);SALAZAR  GABRIEL;LOM;7000;HISTORIA DE CHILE ;
EN FAMILIA;ALAXAND MAXEINER;TAKATUKA;17400;INFANTIL;
EN LA OSCURIDAD ;RANKIN  IAN;RBA;18500;NOVELA POLICIAL ;
EN LOS ZAPATOS DE VALERIA ;BENAVENT  ELISABET;SUMA;18500;NOVELA ROMANTICA;
EN UN ABRIR Y CERRAR DE OJOS;HAHN  OSCAR;VISOR LIBROS ;9500;POESIA;
ENCUENTROS CON LOLA ;VERGARA  DELIA;CATALONIA;12500;PSICOLOGIA;
ENEMIGOS INTIMOS DE LA DEMOCRACIA  LOS;TODOROV  TZVETAN;GALAXIA GUTENBERG;14000;ENSAYO;
ENGANCHADOS A LA CARNE ;ZARASKA  MARTA;PLAZA Y VALDES;18000;VERDE ANIMAL;
ENRIQUE LIHN EN LA CORNISA;CLAUDIA DONOSO;UDP;11000;BIOGRAFÍA;
ENSAYO SOBRE COMO TERMINARA EL CAPITALISMO;STREECK  WOLFGANG;TRAFICANTES DE SUEÑOS;25000;SOCIOLOGIA;
ENTENDER LA PSICOSIS ;TIZON  JORGE;HERDER;28500;PSICOLOGIA;
EPISTOLARIO INTIMO ;VALLEJO  CESAR;ALQUIMIA;11000;POESIA;
ERA DEL VACÍO  LA;LIPOVESTSKY  GILLES;ANAGRAMA;10000;SOCIOLOGIA;
ERAMOS IGLESIA EN MEDIO DEL PUEBLO;RAMMINGER  MICHAEL;LOM;13500;HISTORIA DE CHILE ;
ERASE DOS VECES BLANCA NIEVES;BELEN GAUDES Y PABLO MACIAS;CUATRO TUERCAS;16500;INFANTIL;
ERASE DOS VECES CAPERUCITA;BELEN GAUDES Y PABLO MACIAS;CUATRO TUERCAS;18000;INFANTIL;
ERASE DOS VECES CENICIENTA;BELEN GAUDES Y PABLO MACIAS;CUATRO TUERCAS;18000;INFANTIL;
ERASE DOS VECES CENICIENTA;BELEN GAUDES Y PABLO MACIAS;CUATRO TUERCAS;16500;INFANTIL;
ERASE DOS VECES LA BELLA DURMIENTE ;BELEN GAUDES Y PABLO MACIAS;CUATRO TUERCAS;18000;INFANTIL;
ERASE DOS VECES RAPUNZEL;BELEN GAUDES Y PABLO MACIAS;CUATRO TUERCAS;16500;INFANTIL;
ERASE DOS VECES: LA BELLA Y LA BESTIA ;BELEN GAUDES Y PABLO MACIAS;CUATRO TUERCAS;16500;INFANTIL;
ESCRITO EN LA ARENA;HESSE  HERMANN ;VISOR LIBROS ;12800;POESIA;
ESCRITORES NORTEAMERICANOS;RICARDO PIGLIA;UDP;10000;BIOGRAFÍA;
ESCRITOS DISIDENTES;OLYMPE DE GOUGES;BANDA PROPIA;15000;ENSAYO;
ESCRITOS IMPIOS Y ANTIRRELIGIOSOS;HUME  DAVID;AKAL;17400;FILOSOFIA;
ESCRITOS PARA EL ANTI.EDIPO;GUATTARI  FELIX;CACTUS ;20500;SOCIOLOGIA;
ESCRITOS SOBRE CIENCIA Y GENERO;AMPARO GOMEZ;CATARATA;17400;FEMINISMO;
ESCUPAMOS SOBRE HEGEL Y OTROS ESCRITOS ;CARLA LONZI;TRAFICANTES DE SUEÑOS;11000;FILOSOFIA;
ESPACIOS DE ESPERANZA;HARVEY  DAVID;AKAL;29240;SOCIOLOGIA;
ESPAÑA NEGRA;VERHAEREN  EMILE;JOSE J. DE OLAÑETA;8300;NOVELA HISTORICA;
ESPERANZA SIN OPTIMISMO;EAGLETON  TERRY;TAURUS;14700;ENSAYO;
ESPÍA SE OFRECE;SOTO  JAVIERA;MALAMADRE;15900;HISTORIA DE CHILE ;
ESPIRITU DE LA CIENCIA FICCION  EL;BOLAÑO  ROBERTO ;DEBOLSILLO;7647;LITERATURA CHILENA;
ESPLENDOR EN LA NOCHE   VIENCIAS DE MAYO 1968;TOMAS IBAÑEZ ;LA LINTERNA SORDA;18500;HISTORIA ;
ESTADO DE EXCEPCION;AGAMBEN  GIORGIO;ADRIANA HIDALGO;19500;FILOSOFIA;
ESTALLIDO ;AGENCIA UNO;OCHO LIBROS ;15000;FOTOGRAFIA;
ESTALLIDO SOCIAL Y UNA NUEVA CONSTITUCIÓN;MARIO GARCÉS;LOM;5000;HISTORIA ;
ESTAMOS TODOS MUERTOS. LAS BUENAS NOTICIAS;CASTRO  FRESIA ;CATALONIA;13501;ASTROLOGIA;
ESTAMPAS SANTIAGUINAS: CRONICAS URBANAS;PLATH  KAREN;LIBERALIA;15000;LITERATURA CHILENA;
ESTE LIBRO NO ES PARA TI;ALEX NOGUES;TAKATUKA;16500;INFANTIL;
ESTELAS DE LA MEMORIA ;BEHM  HUGO ;ESPORA ;7000;LITERATURA CHILENA;
